"method","source","coding","estimand","pfs_mean","pfs_median","pfs_lo","pfs_hi","os_mean","os_median","os_lo","os_hi","N_target_pfs","ess0_pfs","ceiling_pfs","N_target_os","ess0_os","ceiling_os"
"LRC-BART single-arm (N_target = 22.5, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","rmst",0.9798,0.9634,0.7639,1.294,0.9053,0.9037,0.7629,1.064,22.5,20.6,63.69,22.5,19.02,36.74
"LRC-BART single-arm (N_target = 22.5, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","med",1.242,1.098,0.4482,2.838,0.63,0.5499,0.2075,1.533,22.5,20.6,63.69,22.5,19.02,36.74
"LRC-BART single-arm (N_target = 15, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","rmst",0.9893,0.9628,0.7506,1.401,0.9105,0.9044,0.7571,1.108,15,14.18,63.69,15,12.72,36.74
"LRC-BART single-arm (N_target = 15, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","med",1.278,1.094,0.3868,3.208,0.6566,0.549,0.1745,1.793,15,14.18,63.69,15,12.72,36.74
"LRC-BART single-arm (0.9 x ceiling, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","rmst",0.9666,0.9642,0.7909,1.153,0.9019,0.9023,0.7659,1.036,57.32,52.4,63.69,33.06,26.8,36.74
"LRC-BART single-arm (0.9 x ceiling, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","med",1.193,1.099,0.5564,2.389,0.6127,0.5484,0.2316,1.361,57.32,52.4,63.69,33.06,26.8,36.74
"LRC-BART single-arm (0.5 x ceiling, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","rmst",0.973,0.9643,0.776,1.218,0.908,0.9041,0.759,1.088,31.85,29.62,63.69,18.37,15.35,36.74
"LRC-BART single-arm (0.5 x ceiling, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","med",1.216,1.098,0.4957,2.582,0.6435,0.5495,0.1916,1.667,31.85,29.62,63.69,18.37,15.35,36.74
"LRC-BART single-arm (0.25 x ceiling, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","rmst",0.9871,0.9629,0.7536,1.376,0.917,0.9053,0.7539,1.16,15.92,15.36,63.69,9.184,8.156,36.74
"LRC-BART single-arm (0.25 x ceiling, H_f = 10, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","med",1.269,1.096,0.396,3.119,0.6907,0.5487,0.1495,2.134,15.92,15.36,63.69,9.184,8.156,36.74
"LRC-BART single-arm (N_target = 30, H_f = 50, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","rmst",0.9816,0.9711,0.778,1.234,0.9066,0.906,0.7695,1.047,30,27.15,54.57,30,25.3,37.88
"LRC-BART single-arm (N_target = 30, H_f = 50, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","med",1.252,1.12,0.4993,2.686,0.6482,0.5757,0.2405,1.481,30,27.15,54.57,30,25.3,37.88
"LRC-BART single-arm (N_target = 22.5, H_f = 50, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","rmst",0.9872,0.9713,0.7673,1.291,0.9096,0.9072,0.7646,1.07,22.5,20.54,54.57,22.5,18.95,37.88
"LRC-BART single-arm (N_target = 22.5, H_f = 50, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","med",1.274,1.122,0.4608,2.872,0.6638,0.5759,0.2151,1.604,22.5,20.54,54.57,22.5,18.95,37.88
"LRC-BART single-arm (N_target = 15, H_f = 50, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","rmst",0.9984,0.9726,0.7516,1.398,0.914,0.9082,0.7611,1.106,15,13.49,54.57,15,13.43,37.88
"LRC-BART single-arm (N_target = 15, H_f = 50, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","med",1.32,1.124,0.4016,3.302,0.6862,0.5793,0.1908,1.787,15,13.49,54.57,15,13.43,37.88
"LRC-BART single-arm (0.9 x ceiling, H_f = 50, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","rmst",0.9749,0.9714,0.7934,1.173,0.9055,0.9055,0.7709,1.039,49.12,43.5,54.57,34.1,28.46,37.88
"LRC-BART single-arm (0.9 x ceiling, H_f = 50, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","med",1.226,1.123,0.5497,2.478,0.643,0.5747,0.2494,1.451,49.12,43.5,54.57,34.1,28.46,37.88
"LRC-BART single-arm (0.5 x ceiling, H_f = 50, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","rmst",0.9836,0.9712,0.7737,1.251,0.9116,0.9079,0.7624,1.087,27.29,24.47,54.57,18.94,16.14,37.88
"LRC-BART single-arm (0.5 x ceiling, H_f = 50, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","med",1.26,1.122,0.4829,2.754,0.6738,0.577,0.2026,1.694,27.29,24.47,54.57,18.94,16.14,37.88
"LRC-BART single-arm (0.25 x ceiling, H_f = 50, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","rmst",1.001,0.973,0.749,1.418,0.9203,0.9092,0.7574,1.156,13.64,12.47,54.57,9.471,8.677,37.88
"LRC-BART single-arm (0.25 x ceiling, H_f = 50, H_g = 5, w = 1)","this rerun (4 chains x 2000 draws)","harm","med",1.33,1.124,0.3916,3.392,0.7188,0.5803,0.1635,2.098,13.64,12.47,54.57,9.471,8.677,37.88
"LRC-BART single-arm (N_target = 30, H_f = 10, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","rmst",0.997,0.9661,0.7412,1.477,0.9091,0.9039,0.7636,1.098,30,28.06,63.69,30,24.39,36.74
"LRC-BART single-arm (N_target = 30, H_f = 10, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","med",1.314,1.098,0.3549,3.522,0.6526,0.5537,0.1914,1.725,30,28.06,63.69,30,24.39,36.74
"LRC-BART single-arm (N_target = 22.5, H_f = 10, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","rmst",1.003,0.9664,0.7326,1.528,0.9112,0.9038,0.7609,1.112,22.5,20.6,63.69,22.5,19.02,36.74
"LRC-BART single-arm (N_target = 22.5, H_f = 10, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","med",1.339,1.1,0.3397,3.85,0.6635,0.5525,0.1748,1.826,22.5,20.6,63.69,22.5,19.02,36.74
"LRC-BART single-arm (N_target = 15, H_f = 10, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","rmst",1.013,0.9652,0.7248,1.603,0.9153,0.9039,0.7575,1.145,15,14.18,63.69,15,12.72,36.74
"LRC-BART single-arm (N_target = 15, H_f = 10, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","med",1.379,1.095,0.3096,4.193,0.6849,0.55,0.157,2.029,15,14.18,63.69,15,12.72,36.74
"LRC-BART single-arm (0.9 x ceiling, H_f = 10, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","rmst",0.9891,0.9654,0.7482,1.408,0.9084,0.9032,0.7643,1.094,57.32,52.4,63.69,33.06,26.8,36.74
"LRC-BART single-arm (0.9 x ceiling, H_f = 10, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","med",1.282,1.105,0.3827,3.263,0.6487,0.5539,0.1937,1.686,57.32,52.4,63.69,33.06,26.8,36.74
"LRC-BART single-arm (0.5 x ceiling, H_f = 10, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","rmst",0.9961,0.9665,0.7414,1.47,0.9132,0.9039,0.7596,1.127,31.85,29.62,63.69,18.37,15.35,36.74
"LRC-BART single-arm (0.5 x ceiling, H_f = 10, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","med",1.31,1.1,0.357,3.479,0.6742,0.5529,0.1663,1.935,31.85,29.62,63.69,18.37,15.35,36.74
"LRC-BART single-arm (0.25 x ceiling, H_f = 10, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","rmst",1.011,0.9645,0.7277,1.582,0.9209,0.9048,0.7552,1.186,15.92,15.36,63.69,9.184,8.156,36.74
"LRC-BART single-arm (0.25 x ceiling, H_f = 10, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","med",1.37,1.096,0.3136,4.082,0.7145,0.5476,0.1385,2.303,15.92,15.36,63.69,9.184,8.156,36.74
"LRC-BART single-arm (N_target = 30, H_f = 50, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","rmst",1.001,0.9697,0.7414,1.463,0.9112,0.9068,0.7642,1.09,30,27.15,54.57,30,25.3,37.88
"LRC-BART single-arm (N_target = 30, H_f = 50, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","med",1.328,1.118,0.363,3.576,0.6742,0.5792,0.2029,1.722,30,27.15,54.57,30,25.3,37.88
"LRC-BART single-arm (N_target = 22.5, H_f = 50, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","rmst",1.006,0.9704,0.7362,1.503,0.9139,0.9066,0.7614,1.111,22.5,20.54,54.57,22.5,18.95,37.88
"LRC-BART single-arm (N_target = 22.5, H_f = 50, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","med",1.351,1.119,0.3426,3.72,0.6879,0.5789,0.1872,1.807,22.5,20.54,54.57,22.5,18.95,37.88
"LRC-BART single-arm (N_target = 15, H_f = 50, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","rmst",1.018,0.9711,0.7277,1.596,0.9178,0.9069,0.7591,1.145,15,13.49,54.57,15,13.43,37.88
"LRC-BART single-arm (N_target = 15, H_f = 50, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","med",1.396,1.123,0.3157,4.098,0.7078,0.5726,0.169,2.009,15,13.49,54.57,15,13.43,37.88
"LRC-BART single-arm (0.9 x ceiling, H_f = 50, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","rmst",0.9939,0.9688,0.7487,1.408,0.9102,0.9069,0.7652,1.084,49.12,43.5,54.57,34.1,28.46,37.88
"LRC-BART single-arm (0.9 x ceiling, H_f = 50, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","med",1.302,1.113,0.3904,3.346,0.6696,0.5803,0.2105,1.68,49.12,43.5,54.57,34.1,28.46,37.88
"LRC-BART single-arm (0.5 x ceiling, H_f = 50, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","rmst",1.003,0.9698,0.739,1.474,0.9156,0.9065,0.7605,1.126,27.29,24.47,54.57,18.94,16.14,37.88
"LRC-BART single-arm (0.5 x ceiling, H_f = 50, H_g = 5, w = 0.9)","this rerun (4 chains x 2000 draws)","harm","med",1.336,1.118,0.3558,3.61,0.6967,0.5751,0.1774,1.881,27.29,24.47,54.57,18.94,16.14,37.88
